Data,Target
Great Teacher,g
Perfect for personality development. She has a ideal personality and teaches what's really needed in the real world..,ts
Really good teacher. Has a great personality herself and teaches with an unconventional but awesome style.,ts
Excellent,g
Very kind and generous. ,bs
Open and receptive to comments and suggestions. Always provide interesting case studies and group tasks which help to bring out the best of any personality.,ts
She is kind and pays well attention to children ,bs
She is wonderful! She teaches like a friend and helps teach how to act in the particular social situations ,ts
Good,g
Very Good teacher.,g
"Excellent sir, he is good in explaining",ts
"Outstanding teaching, the way she interact with students is very impressive.",bs
"Thank you for your help as your department helped me a lot in my attitude and personality, but also please understand every student out there needs you, you can't just focus on some",bs
Very nice faculty supportive and good ,bs
Good,g
She is a very good mentor and i have learnt a lot from her way of teaching.It is quiet helpful and easy for me to grassp everything thing she taught,ts
Punctual,p
Faculty is having a good approach towards solving problems,ts
Good in class. Fun to be in her class,bs
Great communication skills and very interactive teaching. Helped honing technical as well as soft skills.,ts
She has the best persona ever. Very friendly and teaches efficiently.,bs
Great Teacher. Simple Explanation amazing personality Absolutely Lovely,ts
Excellent ,g
She is a dedicated teacher who strives to develop student’s personality.,bs
Good,g
Very effective teaching methods. ,ts
He is a great teacher who puts in lots of effort so that students are doubt-free at the end of his lecture.,bs
Ms. Subha is a great teacher with good communication skills. She is patient and helps students with all doubts. But she is not very punctual,bs
her lectures are very interactive.,ts
teacher are punctual but they should also give us the some practical knowledge other than theortical,ts
way of teaching is good,ts
every thing is fine,g
the material provided is beneficial and provides much knowledge,ts
as per the exam pattern maths exam always have to be subjective rather than objective,ts
Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving.,ts
The examination system of the university is very impressive.The sitting plan of he students is made in such a way that no 2 students of same class give the exam in same room or even sometimes same ,ts
More number of lab/practicals should be there to enhance practical knowledge.,ts
"The evaluation is , as this faculty is really weird. She gives us remarks on the basis of how we present things in front of it, she never looks for the content of our answer.",ts
excellent but checking procedure is not exceptable since we fail to know our faults in mid term,ts
content is very knowledgable and gives us huge knowledge of every subject,ts
That's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.,ts
teacher is punctual but they should also give us the some practical knowledge other than theortical,ts
lecture delivery and punctuality was good but the interaction with students was not good.,bs
She has to improve in terms of teaching style and knowledge.,ts
helps us overcoming fears regarding communication skills and stuff .,bs
She is a good tutor and helped me a lot to overcome most problems,bs
Lovely teaching ,ts
Good teaching skills.,ts
Great communication skills and answering ability for doubts ,bs
She's a great teacher and her lessons really help a lot,bs
Nice inetractive sessions are done.,ts
Helps us make a difference,bs
Good in interacting ,bs
Enjoyable teaching and interaction ,ts
Don't know....she doesn't teach us,ts
Very patient and understanding teacher,bs
Has a very innovative and perspective side to her teaching,bs
She is good.,g
Amazing Teacher,g
One of the best faculty I came across in my college.,g
Her grammar is on point. She knows how to propogate her own knowledge. She can't control the class perfectly,ts
Has a good control on her skills but is very strict in conducting classes,bs
Excellent,g
Amazing,g
Very helping ,g
Devotes a great amount of personal effort and interest in daily teaching activities.Develops new techniques to increase vocabulary.,ts
Good communication skills and connects well to students ,bs
"Wonderful teacher, brings new books for students to read and helps learn English in a new way",ts
Average,g
Very good,g
Good,g
Smart ,g
Makes learning fun.,ts
"Excellent sir, he is good in explaining",ts
Very motivating teacher.,bs
"There's a reason why you're in this department because your English speaking skills are flawless. But mam please smile, I've noticed that you're grave at times.",bs
Nicr,g
Very nice faculty supportive and good ,bs
Good,g
HIGHLY EXPERIENCED ,g
Here literature skills are awesome and she very up to the mark kind of person. ,ts
Good teaching skills,ts
Faculty devotes a good time in teaching.,ts
 Improved our vocabulary ,ts
Good handle over class and very respectful towards students. Very enlightening and helps with grammar.,bs
Has plenty of knowledge but lacks in explaining it.,ts
"Great Teacher. Very Kind, but for English Teacher pronunciation is not good  ",bs
Good,g
She has a very good vocabulary .,bs
Good,g
Encouraging teacher,bs
She is quite bad when it comes to her behaviour. She only scolds during the lecture.,bs
Mrs. Ramandevi is an excellent faculty of English department. She explains all the basics if someone has grammatical errors.,ts
she is one of the most updated teachers in our college,ts
Excellent lectures are delivered by teachers and all teachers are very punctual.,p
"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery",ts
It's appreciable,g
fully knowledgeable,g
as per the lab evaluation we r satisfied with it,ts
With the help of practicals students are able to understand all the concept.so it is also good.,ts
Everything is pretty well organised,g
Here we r able to do every thing by our own with u r valuable support,ts
She is not giving depth of course . She is trying to cover his work only .,ts
"	Excellent exam pattern, paper checking in this university is easy",ts
way of teaching is average,ts
exam pattern is good and marks distribution is also good but paper checking is too hard,ts
content of courses are average,ts
"	Content provided by ma'am is excellent so that we learn more and more about that particular subject",ts
"The material provided by faculty is in depth of course, The course taught is knowledgeable",ts
She is unfair and baised,bs
I enjoy it very much. ,g
introduces us to new topics and helps out with diverse topics ,ts
Very good,g
She helped me in ever sense,bs
Very supportive ,bs
A very approachable teacher.,bs
Great communication skills and answering ability for doubts ,bs
I just love her English ,g
Learning is fun in the class.,ts
She was very helpful in improving our skills,ts
excellent in interacting with students,bs
Engaging the students in a great way,bs
Don't know....she doesn't teach us,ts
Filled with fun stories and great enthusiasm,ts
Has a impeccable knowledge about the English language,ts
She is good. ,g
Stupendous ,g
He has a lot of knowledge about the subject but cannot reach very well.,ts
"The question levels are always high. Strict in class, but clears doubts many times.",bs
Sometimes is unable to explain a few concepts clearly,ts
Average,g
Superb,g
Good knowledge about the Subject ,ts
One of the most informative faculties. Always ready to listen and support. Majority of research papers are related to instructional innovations in the field.,bs
Sound knowledge and is always able to clear my doubts ,ts
Wonderful teacher and has great teaching skills but sometimes gets strict on things which are not important. ,ts
Okayish,g
"Excellent sir, he is good in explaining",ts
The way she explains complex problems is very helpful.,ts
"Teaching skills, 100% strictness also 100%.",ts
Very nice faculty supportive and good ,bs
Good,g
HIGHLY KNOWLEDGEABLE ,ts
She has a thorough knowledge about her subject and she teaches everything with included proofs and logics.,ts
Makes teaching interesting,ts
Faculty is very helpful but the approach is not good while teaching.,ts
Not that good. ,g
Runs a bit late to class and then takes extra time from allotted break. Does not clear doubts easily. Gives a lot of assignments.,p
Very supportive. Always encouraged students to take part in several activities.,bs
"Very Punctual, interactive teacher  ",p
Nice ,g
He is very knowledgable and ready to help his students.,ts
Good,g
Wide range of knowledge and creative teaching style,ts
He is one of my favourite faculties because he always encourages to study practically.,bs
He is not a good faculty as he explains concepts very vaguely and uses a lot of technical terms that most people are not able to understand.,ts
Portion is never completed on time,ts
All courses material provide very good knowledge in depth,ts
bunks a lot,g
Courses are very good and useful,g
exam pattern is good and good paper checking.,g
"	lab and practical work are litial good",ts
exams conducting is very good .but paper correction is very bad,ts
average 3.5/5,g
every thing is excllent but paper checking is not good,bs
"Discipline, punctuality , lecture delivery all are good but have to do some work for quality of lecture",p
"	I don't like the -ve marking system. appart from that everything is great",ts
"	marks distribution is good but paper checking is not that well",ts
PAPER CHECKING IS VERY HARD REMAINING IS GOOD,ts
teachers give us all the information required to improve the performance,ts
Teacher doesnot provide answer key for reference so we are in ambiguity about marking scheme.,ts
"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good",p
"not every one gets opportunity to ask doubt, only favoured students get",bs
I enjoy it very much.,g
explains well and teaches well .,ts
Very good,g
She is good in teaching and and very polite,bs
Good not bad,g
Gives amazing power point presentations.,ts
Great communication skills and answering ability for doubts ,ts
Gathered a great knowledge within a less period under his guidance ,ts
Interaction with students is good.,bs
Teaches very effectively,ts
Nice teacher,g
Shocking and energizing ,bs
Don't know....she doesn't teach us,ts
A bit strict but very kind,bs
Has an excellent way to how they teach,ts
She is good.,g
Too good,g
I do not understand anything which he is teaching.,ts
Strict in answer checking but lenient on students.,bs
Teaches really well but is unable control the class,bs
Outstanding,g
Fantastic skills,g
"Presents new material clearly and logically with Models, demonstrations and examples",ts
Great teacher and great friend at times ,bs
Has a vast knowledge of what she is teaching. Brings in new ideas and models to help understand things better.,ts
Best teacher,g
Excellent ,g
Teaches well,g
"Excellent sir, he is good in explaining",ts
As I am engineering student my interaction with biology is negligible but the way she teaches is beyond science.,ts
"As the name says itself, the legend who passed away long ago was expert in maths and you're the legen of biology. But sir don't be too strict on students who are trying their best in studies.",bs
Very nice faculty supportive and good ,bs
VERY PUNCTUAL AND WELL SPOKEN,p
He is a very good listener and explains everything very easily.,bs
Artistic lectures,g
A good approach towards teaching and also very helpful towards students.,ts
Good with her concepts,ts
Very punctual but makes learning really boring. Not easy to understand what is being taught ,p
Boooring.,g
Comments on Ethnic Background which I personally feel is wrong in every sense. Unwilling to listen to our points of view ,bs
Good,g
He is a motivated teacher who is always there to help his students.,bs
Good,g
Makes the topic easy to understand and helpful,ts
She is amazing as she makes the subject interesting.,ts
"Ramanujam is an average faculty. He has all the knowledge but at times, he is not able to deliver it to students",ts
He conducts exams at a regular basis which makes learning easier.,ts
"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",ts
The course notes are very knowledgeable and proper.,ts
Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand.,ts
"examination pattern, marks, paper checking is good.",ts
"	not very good... must be improved",g
it was good but it can be improved,g
for some subjects like maths and english(passage writing) the time duration neds to increase,ts
Exam pattern and marks distribution are excellent but sometimes there are some errors in paper checking,ts
"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor",bs
"Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good",ts
"The faculty is good ,interaction between student and teacher is also goo",bs
ALL PRACTICAL WORK IS GOOD,ts
"	It's good when compare with my Btech lectures and teaching activities",g
"I am very much satisfied with teaching faculty in terms of iteraction ,lecture delivery, punctuality etc",ts
"good, and also like the teaching style",ts
very nice teaching and interaction between students and lectures was good,bs
I enjoy it very much .,g
"explains well , makes sure that topics are clear and understoodable .",ts
Very good,g
Awesome,g
Good teaching ,g
Knows how to handle a classroom.,bs
Great communication skills and answering ability for doubts ,ts
A great teacher,g
Fun with learning. ,bs
He makes biology very interesting,ts
Sir is really excellent ,g
Study of life done well,ts
Don't know....he doesn't teach us,ts
Very interactive,bs
Has a great way of explaining concepts,ts
He is good.,g
Are re re re re re,g
He is an average teacher and his classes are boring.,ts
Has a good knowledge on the subject. But a bit fast in pace.,ts
Has his concepts clear and teaches in a practical manner,ts
He is fantabulous extravaganza and laptop ka link to,g
Highly knowledgeable,ts
Helping and kind ,bs
Motivates students to solve the practical issues with logics.Uses questioning techniques to promote critical thinking ,ts
Awesome,g
Sir has a great deal of knowledge about networking but sometimes is unable to teach the topics properly,ts
Amazing ,g
Good,g
Very good,g
Punctual and accurate,p
The new age Mark Zuckerberg,g
"Excellent sir, he is good in explaining",ts
Very good,g
Sir I just want to praise about your knowledge which is flawless and one could only think of achieving it the only thing that lacks is ability to share it.,ts
Nice,g
Very nice faculty supportive and good ,bs
Good,g
EXCELLENT STYLE OF TEACHING,ts
Has a huge amount of knowledge and always ready to share it with others.,ts
Takes ample of practise before exam,ts
Faculty is really very helpful and understands the problem and is always there to solve the doubts.,ts
Good in networks.,ts
Very generous and helpful. He is soft-spoken and always on time. Gives a lot of marks.,bs
Bahut acha,g
"Guest Teacher, haven’t been really taught by him ",g
Superb,g
He has a very interesting way of teaching his subject.,ts
Good,g
Sincere in teaching and cogent teaching. ,ts
His basics are not clear and hence cannot clarify our doubts.,ts
This faculty faces difficulties with his basics,ts
"He is not punctual and instead of teaching, he reads out a ppt in class.",p
teachers give us all the information required to improve the performance.,ts
content of the courses are update and mostly based on current technology.,ts
content is good enough,ts
"	Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section give marks without taking viva and some does not give marks accordingl",ts
i think mid term should be also subjective,g
good but marks are not given properly,bs
every thing is fine.,g
"	exam pattern is very good but if you give question papers to students it is helpful",ts
Very good teaching and management,ts
super but paper checking is not good,ts
dont behave well with students and they Dont even teach all the concepts in the subject.,bs
"excellent, but reduse the speed of teaching ,up to understand the students",ts
way of teaching is good,ts
staff is showing partiality between north indians and south indians,bs
super but paper checking is not good,bs
Lab evaluations are very strict,bs
"helps us overcoming problems , explains well and good ",ts
Awesome,g
Clears all the doubts students have.,ts
Great communication skills and answering ability for doubts ,ts
I just want to thank him for sharing his knowledge of networking,ts
Explanation is the best.,ts
Teaches the concepts in an understandable manner,ts
Don't know....he doesn't teach us,ts
Very good personality and entertaining,bs
Has a great perspective of problem solving,ts
The teacher comes early,p
The teahcer is very rude,bs
The teacher is very punctual,p
Makes learning fun.,ts
"Excellent sir, he is good in explaining",ts
Very motivating teacher.,bs
"excellent, but reduse the speed of teaching ,up to understand the students",ts
way of teaching is good,ts
staff is showing partiality between north indians and south indians,bs
super but paper checking is not good,bs
Lab evaluations are very strict,bs
"helps us overcoming problems , explains well and good ",ts
Devotes a great amount of personal effort and interest in daily teaching activities.Develops new techniques to increase vocabulary.,ts
Good communication skills and connects well to students ,bs
"Wonderful teacher, brings new books for students to read and helps learn English in a new way",ts
Punctual,p
The teacher is very punctual,p
The teacher comes early,p
Punctual and accurate,p
he always come early,p
she is so punctual,p
